GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
main-service,com.example.main.controller,HomeController,0,5,0,0,0,2,0,2,0,2
main-service,com.example.main.controller,AggregatorController,0,166,3,3,0,26,3,3,0,3
